0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-1.2192438,0.4530334,1.2401364,-1.6955372,0.7383114,0.4726214,-0.90543556,0.026743244,-2.4052866,-0.29852304,1.4918886,-0.8011377,-1.1562216,-0.46119824,-0.49707437,-2.299161,0.33006984,0.21641722,1.4362276,0.2945534
0.09360242,2.3150253,0.80096316,0.8086983,-0.1480965,-0.7453072,-1.2537063,-1.8174996,0.6533642,-0.116526425,-0.6680368,-0.10979554,1.2334129,-0.37640584,1.2450039,-1.845583,0.2224664,0.61514765,-1.9135137,0.33852297
-0.83065957,-0.08253637,1.1947935,-0.25391808,1.4775714,-0.21376844,-1.0313585,-1.2182972,-1.0622518,0.791795,0.095855385,-0.15543132,0.3389731,-0.11565963,-0.8587179,-0.41914368,-0.91311604,-0.6201015,-1.4082688,-0.7310759
0.76922804,-0.117514126,0.018451132,-1.2218987,-0.39347386,0.061900787,0.5161369,-1.7521529,-0.21353813,1.5672194,-0.5526505,0.8341853,-0.34655014,1.845119,1.6799036,-1.5197772,-1.6030875,0.31203458,-1.338574,1.3667221
0.012578952,-0.23792605,-1.4078239,-0.49136865,-0.13951834,-0.4424345,-1.2085484,-1.0637598,-0.46674097,-1.1845528,-0.57117456,0.76433384,-2.0660172,1.4008387,0.76184165,-0.08331852,0.4916432,0.61277336,-0.5307513,0.19330005
0.32914862,2.6548045,0.92279035,-0.6306328,0.028448889,-0.30022678,-2.1496308,1.2239422,-1.1564829,0.73172253,0.9645623,0.70629567,-1.6662593,2.161667,-0.027492609,0.043849546,-0.9784868,0.12597331,0.7227088,-0.4922604
-0.4284626,0.77957565,0.47540447,-0.8415808,-1.4164554,0.2967615,-0.38453433,1.2138958,0.5838516,-0.3912661,1.4336165,-0.7682064,1.1848835,-0.5366625,0.29692063,-0.22544836,-0.10337845,-0.3829767,-0.28519142,-0.48118642
0.34098354,-1.2996957,1.5990658,-1.396359,0.7177917,-0.7247174,0.24458946,-0.12229626,-0.5031374,2.367944,-0.5963241,-1.1796855,-1.3421037,-1.264113,0.35777315,-0.37529397,0.20944157,-0.15183182,0.14884648,-0.878104
0.28274584,1.1682459,-0.11785762,-0.896022,0.65031683,-0.4084801,0.5872326,0.00091072725,-0.42839596,-0.3284912,0.9847552,1.5059655,-0.94176877,-0.24799493,-1.6405863,-0.22066866,0.08254316,1.5873262,-0.057276685,1.5265845
0.2752013,1.5153599,0.5850025,-0.18516149,1.1189313,-0.5964087,-0.2256218,1.0303841,-0.24613558,0.69502884,0.025990564,-1.0319602,-1.9122897,-1.0300323,-0.8268165,-0.09517097,-0.5623552,-0.026692301,0.7379651,1.3010993
-0.3528628,-0.8275434,-0.27045527,-0.6507929,0.7543998,-0.2876475,-0.18470109,0.41520378,-1.4909197,0.35147792,0.3518018,-1.4033855,0.7685804,-0.8404527,1.7637981,2.1937017,-0.3119232,0.78877294,1.0851343,0.37580836
-0.7571962,-0.39379212,-0.84977335,0.22162127,-0.9197109,0.22252606,-0.49502248,-0.3003321,0.14978582,-0.49635628,1.5653343,-0.7947186,0.07225106,-1.1712424,1.3612943,-0.4450736,0.76505655,0.7817231,-0.33309105,1.7986848
0.530003,0.89268225,0.56485456,0.5685776,1.1489155,1.4731916,0.83206487,0.0017745639,0.014573358,-0.7008281,0.1811412,0.7276447,-0.663855,-1.4336865,0.32168552,-1.7574302,0.2527779,-0.21976264,2.0729876,-0.034558266
0.9822945,-0.5987884,0.072977126,1.0219247,-0.5672724,0.1215315,-0.63327414,-2.1468236,-1.0422364,0.5009179,-0.4354958,-0.3312244,-1.0713153,1.8012941,-0.7809741,-0.6771915,0.8437379,-0.23303613,-0.32653904,0.959186
-1.7000103,0.46187204,-0.53906816,0.9166458,-1.2929251,-0.80215144,-0.6092073,-0.9245849,-0.80684465,-0.41273385,1.4687119,-1.0794456,1.0797862,1.6936283,-1.4431953,-0.13881427,-0.4368008,1.5920062,-2.4957354,-0.29094815
0.28870696,-1.6027098,0.56704575,1.0830129,-0.36778706,0.10406374,-1.0383345,-1.08399,0.49750623,-0.4073346,0.09821921,-1.3706603,0.7187026,0.21310043,0.23190525,0.6992064,1.7536997,-0.051726304,-0.28789914,1.0743852
-0.98919135,-0.7832359,-0.0663325,-1.1597717,-0.018072402,-1.6566966,-0.1197617,0.5253332,0.86912024,2.503429,1.0573475,-0.9186159,0.4682475,0.25833324,0.09424194,-0.57114244,2.0383465,-1.5166771,1.6707152,1.6200145
0.39631605,-1.8343964,-2.6803482,-2.4261727,0.15684232,-2.0409298,0.12191784,1.1614758,0.49497595,1.5379307,1.036546,0.28954747,1.3930153,-1.4165471,0.7834834,0.115883835,-0.9817978,-0.41907224,0.248875,1.0173795
-0.0056344755,0.41641593,-0.46997225,0.37933293,-0.4238533,-0.22686338,-1.2428261,-0.31806806,-2.3730102,-0.28769717,1.2268183,-0.8174965,0.39184695,2.1102407,-0.9822152,0.47456825,-1.1017307,1.0184126,0.1036334,-0.043058462
-0.15600388,-1.9061437,-1.4474409,1.2862136,-0.54107016,-0.050985824,-0.9956646,1.0561951,-1.3896697,1.3325219,-0.29987603,0.25983208,-1.1763958,-1.0936903,0.9377431,-1.1241373,0.06957003,-0.39494103,0.11084985,0.43303272
0.089661136,0.16005291,0.5042055,0.45272362,0.63252133,0.2471061,0.44862184,0.2102334,1.0621725,-0.42171174,-1.3562138,-1.1324319,-0.80630386,0.57620686,0.29405403,0.26785207,-1.1402926,0.20783958,-0.48657307,0.79867274
0.29092625,-0.16669972,-0.14899786,-0.51444507,-0.3661939,1.929404,1.4467989,0.45128474,0.15983959,-0.9120232,-1.2820433,0.8230996,0.1531136,-1.7196364,1.7000083,1.2011136,2.7495904,0.40343407,-1.0223771,-0.047124613
-1.6322067,-1.1988347,0.41080126,1.420228,0.49754465,-0.6836824,0.37566042,1.9378577,-0.5970401,0.17208394,-0.21179008,-0.085836336,-1.43923,0.9266217,-0.57631546,1.2057508,0.23804922,-0.50965613,-1.9552958,1.1122942
1.2796417,1.1800158,1.1906428,0.6867664,0.2219576,0.30505583,-0.985336,-1.2475199,-0.17593408,0.18268017,0.47932562,1.0562552,0.1710169,0.3184312,1.4747094,1.4795036,0.078218125,0.13900392,1.5652742,-1.1993684
1.3520726,-0.28414524,0.28647092,0.16221139,0.5713679,-0.31587848,1.5731642,-0.15033393,-0.8798033,1.0071006,0.70720506,-1.0026478,0.21892504,-0.77554077,0.99061,-0.47475088,1.2370695,-0.34908235,1.2914412,0.10171521
-0.7972091,-0.90678227,2.2519157,-0.88075,-0.31336933,2.2844718,-1.2070478,-0.06802333,1.8732878,1.3491473,-0.6910413,0.66533625,-0.907204,-0.017165303,-0.02881811,-0.6941934,-0.6949604,0.4931057,-0.66252136,1.0038588
1.3191041,-0.34172747,-1.2276578,1.8249999,1.3234205,1.2542644,1.3682879,-0.012197341,-1.3186326,0.69312024,1.1619849,-0.60506624,-0.08689945,-1.521443,-0.13957648,-0.3028766,1.4980787,-0.4076793,0.50518376,0.429962
